Date,Time,Open,High,Low,Close,Volume
11/05/2019,11:35,43540,43540,43540,43540,0
11/05/2019,11:40,43540,43540,43540,43540,0
11/05/2019,11:45,43540,43540,43540,43540,0
11/05/2019,11:50,43540,43540,43540,43540,0
11/05/2019,11:55,43540,43540,43540,43540,0
11/05/2019,12:00,43540,43540,43540,43540,0
11/05/2019,12:05,43540,43540,43540,43540,0
11/05/2019,12:10,43540,43540,43540,43540,0
11/05/2019,12:15,43540,43540,43540,43540,0
11/05/2019,12:20,43540,43540,43540,43540,0
11/05/2019,12:25,43540,43540,43540,43540,0
11/05/2019,12:30,43540,43540,43540,43540,0
11/05/2019,12:35,43540,43540,43540,43540,0
11/05/2019,12:40,43540,43540,43540,43540,0
11/05/2019,12:45,43540,43540,43540,43540,0
11/05/2019,12:50,43540,43540,43540,43540,0
11/05/2019,12:55,43540,43540,43540,43540,0
11/05/2019,13:00,43540,43540,43540,43540,0
11/05/2019,13:05,43540,43540,43540,43540,0
11/05/2019,13:10,43540,43540,43540,43540,0
11/05/2019,13:15,43540,43540,43540,43540,0
11/05/2019,13:20,43540,43540,43540,43540,0
11/05/2019,13:25,43540,43540,43540,43540,0
11/05/2019,13:30,43540,43540,43540,43540,0
11/05/2019,13:35,43540,43560,43530,43550,1502
11/05/2019,13:40,43550,43560,43540,43560,440
11/05/2019,13:45,43560,43560,43550,43560,188
11/05/2019,13:50,43560,43580,43550,43580,1440
